"GEOID","NAME","B01003_001E","B01003_001M","B01001_003E","B01001_003M","B01001_026E","B01001_026M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B19013_001E","B19013_001M","B17001_002E","B17001_002M","B25064_001E","B25064_001M","B25077_001E","B25077_001M","B23025_005E","B23025_005M","B15003_022E","B15003_022M"
"36001","Albany County, New York",316659,NA,7405,535,163156,571,216669,3675,37541,3371,426,298,24413,1490,81335,3236,39530,4821,1313,48,291300,10862,7469,1690,48648,3854
"36005","Bronx County, New York",1356476,NA,43915,229,715186,851,169137,10077,456691,12609,24346,4906,58254,2662,46838,2003,369261,18819,1352,23,498200,31019,58710,6022,134999,7087
"36007","Broome County, New York",196077,NA,5161,584,98996,1312,157587,1950,10576,1131,47,63,10996,435,63876,3654,31614,4321,935,38,155100,4091,4532,959,23987,2513
"36009","Cattaraugus County, New York",75600,NA,1998,219,38278,595,66753,837,785,739,1891,433,517,209,54250,5217,15054,2516,715,48,105500,8769,1645,597,5936,1115
"36011","Cayuga County, New York",74485,NA,1752,287,36457,445,64911,1629,2604,674,144,140,510,228,66166,5737,9617,2073,925,76,161700,7277,1045,510,7379,1387
"36013","Chautauqua County, New York",124891,NA,3360,313,63444,504,107867,1736,3972,1636,69,106,540,317,55234,4729,20451,3305,797,47,124600,8374,3619,1016,11309,1655
"36015","Chemung County, New York",81325,NA,1741,111,40682,437,70199,670,6342,704,62,63,1325,371,59617,4436,14213,2593,1013,89,139600,12385,2211,968,9547,1505
"36019","Clinton County, New York",78115,NA,1801,221,38506,519,70170,1080,1646,561,180,234,662,434,62717,6942,10166,2267,948,42,173000,17916,669,448,8081,1485
"36027","Dutchess County, New York",297150,NA,6376,539,150134,698,203536,3612,27128,3009,3184,1969,10659,864,96824,4123,20256,3719,1574,85,395400,11129,6393,1451,45549,3221
"36029","Erie County, New York",946147,NA,24905,224,485849,191,693692,3957,119338,4077,3420,1065,47915,1672,70492,1959,130526,9540,1067,27,241900,4508,16718,2761,141458,6195
"36045","Jefferson County, New York",114787,NA,3982,384,54410,680,93498,1146,4509,1052,1449,1078,2565,661,61512,3622,13963,2615,1227,85,184200,10159,2254,876,10257,1465
"36047","Kings County, New York",2561225,NA,79268,126,1341926,698,974518,7279,700998,9552,15410,3632,316163,4524,76912,1830,481891,22615,1762,19,880300,18745,77974,5704,458858,11786
"36053","Madison County, New York",66921,NA,1428,61,33938,320,61365,279,1209,313,124,89,863,270,74125,4667,6689,925,869,68,180600,8887,1378,494,7093,904
"36055","Monroe County, New York",748482,NA,19726,40,385424,199,521031,4808,107949,4580,1038,515,27930,1409,73211,2595,95393,7552,1163,30,217300,4341,16936,2296,122853,4979
"36059","Nassau County, New York",1381715,NA,36672,168,701270,337,773941,7741,156129,5562,2194,1061,172055,4660,141568,3593,73957,9272,2228,85,674200,5959,28578,3504,256459,9853
"36061","New York County, New York",1597451,NA,31542,223,836232,461,771461,8432,221769,7326,5818,2596,202421,4316,101078,2582,255043,17932,2169,57,1010800,46815,66576,6394,414026,11272
"36063","Niagara County, New York",209457,NA,4637,573,106495,757,171675,2595,14144,1849,1312,603,3089,647,65875,4732,29638,5171,985,72,189700,7603,4670,1410,23223,1949
"36065","Oneida County, New York",227555,NA,6737,871,113554,871,180914,3001,11738,1998,151,105,9639,1039,61118,3613,34719,5307,913,41,188300,9751,4775,1194,25852,2889
"36067","Onondaga County, New York",467873,NA,12910,784,240791,973,351746,2458,51448,3618,3160,1445,18559,1237,74704,3892,61197,6735,1095,25,202400,7075,8952,1669,72775,3379
"36069","Ontario County, New York",112494,NA,2507,415,56731,688,99063,1566,3070,660,74,79,1635,356,79450,6042,8242,1594,1210,100,228000,16804,1396,499,18052,1733
"36071","Orange County, New York",407470,NA,14364,766,203020,915,246741,3059,48399,3250,11671,4547,12066,1627,94364,4533,51705,8888,1642,89,391800,9247,10253,1955,47729,3669
"36075","Oswego County, New York",118162,NA,3098,203,58894,475,109658,1363,1695,293,155,156,857,329,70076,5949,16769,2864,957,48,153500,7277,3138,1040,11553,1497
"36079","Putnam County, New York",98060,NA,1800,365,49958,1129,71681,1678,2146,826,50,83,2353,382,122777,9532,8544,2465,1833,105,482300,19194,1419,537,17999,2071
"36081","Queens County, New York",2252196,NA,59573,452,1153186,831,580646,10182,389884,7298,24972,4985,590801,9440,81929,1842,304271,19171,1877,22,692500,13528,59560,4881,373121,10570
"36083","Rensselaer County, New York",159305,NA,3512,670,79625,985,127628,1470,9474,2168,327,237,4355,625,84278,5162,20013,3499,1242,74,257600,11202,3948,1282,22306,2226
"36085","Richmond County, New York",490687,NA,13051,2,250572,716,284690,3846,47736,2113,4092,2222,69550,3030,95543,6161,63877,7326,1688,70,672400,12543,10816,1948,74911,5458
"36087","Rockland County, New York",340807,NA,15596,777,170941,1347,210035,3723,35473,2024,2205,1541,19931,1372,106589,4584,54967,7931,1868,117,600500,16014,4891,1151,48167,3803
"36089","St. Lawrence County, New York",106940,NA,2614,198,52676,515,98134,899,1804,382,493,217,1463,333,56872,4269,19615,3264,789,47,130200,10979,1380,543,10190,1513
"36091","Saratoga County, New York",238711,NA,4884,365,120512,884,209403,2310,4908,671,969,861,5072,1193,94330,3492,17012,2659,1362,60,348800,10757,3099,1018,44176,3103
"36093","Schenectady County, New York",159902,NA,5092,481,81393,1061,108448,2718,18037,2064,718,550,5933,2328,74969,3208,23356,4311,1240,94,242700,9269,3526,987,20401,2287
"36101","Steuben County, New York",92162,NA,2432,91,46819,518,84334,646,2727,513,40,52,1329,432,64238,4560,13127,2200,838,109,137000,10555,1731,498,8529,1146
"36103","Suffolk County, New York",1523170,NA,40807,53,767639,258,978883,8108,118221,5157,4842,1498,72232,3224,124045,3226,101811,8521,2045,78,584800,6380,29127,2945,232957,7359
"36105","Sullivan County, New York",79920,NA,2860,308,37940,613,54019,1269,8488,1922,126,93,1707,242,69453,9262,9860,2062,1028,111,273800,18843,1383,614,8905,1320
"36109","Tompkins County, New York",103558,NA,2249,498,52954,1122,76818,1318,4221,533,153,133,11214,465,67247,5708,13995,2393,1383,89,263100,26306,2540,941,14369,1691
"36111","Ulster County, New York",182333,NA,4041,599,91855,785,138006,2666,11696,1170,2606,1706,3924,668,85878,4432,22095,3217,1363,161,373400,16385,4344,1373,29914,2685
"36113","Warren County, New York",65380,NA,1545,255,33343,597,60971,692,385,282,42,54,719,213,73802,5520,6455,1499,1051,96,265300,16875,890,383,10792,1497
"36117","Wayne County, New York",90829,NA,2452,341,45286,520,80005,976,1723,590,257,200,746,384,73065,6669,10254,2305,996,92,173600,10088,924,421,10715,1429
"36119","Westchester County, New York",990817,NA,26502,2,507627,362,517726,7001,132346,4541,9205,4289,62302,2160,114457,4373,88835,9381,1873,46,645700,12174,28312,2768,189687,7914
